polity_id,year,gdp_int_usd,est_frac
Elam,-2000,168594668.28861237,1.0
Indus Valley Civilization,-2000,1245220555.8152406,1.0
Middle Kingdom of Egypt,-2000,886417856.5547035,1.0
Sumerian City-States,-2000,183341057.70662427,1.0
Assyria,-1750,40558545.864629745,1.0
Babylonia,-1750,470335706.82864195,1.0
Elam,-1750,78592516.27757548,1.0
Hyksos,-1750,473991541.0983822,1.0
Indus Valley Civilization,-1750,390070775.763984,1.0
Middle Kingdom of Egypt,-1750,969598491.5943754,1.0
Assyria,-1500,94453182.62615205,1.0
Babylonia,-1500,369306101.3288677,1.0
Elam,-1500,82879354.67863083,1.0
First Sealand Dynasty,-1500,26957430.407238007,1.0
Hittites,-1500,215030958.49227905,1.0
Hyksos,-1500,591135241.9543192,1.0
Minoan civilization,-1500,20307913.3518219,1.0
Mitanni,-1500,524626670.3633307,1.0
Mycenaean Greece,-1500,220196632.64602572,1.0
New Kingdom of Egypt,-1500,1046465669.9878311,1.0
Shang Dynasty,-1500,726629169.5922732,1.0
Assyria,-1250,357806966.373825,1.0
Babylonia,-1250,422379910.23792017,1.0
Elam,-1250,86869747.64635563,1.0
Hittites,-1250,1168559664.5338387,1.0
Mitanni,-1250,125381859.02087688,1.0
Mycenaean Greece,-1250,316559034.2664845,1.0
New Kingdom of Egypt,-1250,1724632606.1040719,1.0
Shang Dynasty,-1250,726629169.5922732,1.0
Assyria,-1000,90768964.22080994,1.0
Babylonia,-1000,199884526.92317963,1.0
Elam,-1000,46326800.9141922,1.0
Greek Dark Ages,-1000,413872031.7372679,1.0
Kingdom of Israel,-1000,152608387.46176958,1.0
Kingdom of Kush,-1000,98469304.67538089,1.0
Neo-Hittite states,-1000,201497054.7966242,1.0
New Kingdom of Egypt,-1000,1189599001.1798263,1.0
Philistia,-1000,127973237.23983765,1.0
Phoenicia,-1000,378427713.99078375,1.0
Zhou Dynasty,-1000,2566006688.8984146,1.0
Assyria,-950,89861274.58356856,1.0
Babylonia,-950,197885681.64319035,1.0
Elam,-950,48350894.68457222,1.0
