country_iso,year,gdppc
AFG,1950,1156.0
AFG,2000,502.3727
AFG,2015,1928.0
AGO,1950,1677.0
AGO,2000,2013.6362
AGO,2015,8689.0
ALB,1900,1092.0
ALB,1950,1596.0
ALB,2000,4808.4796
ALB,2015,10032.0
ARE,1950,25182.0
ARE,2000,48888.0321
ARE,2015,74746.0
ARG,1800,1484.0
ARG,1850,1994.0
ARG,1900,4583.0
ARG,1950,7949.0
ARG,2000,14368.9427
ARG,2015,19502.0
ARM,2000,5139.8255
ARM,2015,10042.0
AUS,1850,3148.0
AUS,1900,6397.0
AUS,1950,11815.0
AUS,2000,36603.045
AUS,2015,48357.0
AUT,1850,2630.0
AUT,1900,4594.0
AUT,1950,5907.0
AUT,2000,34796.2595
AUT,2015,41294.0
AZE,2000,4214.8889
AZE,2015,17460.0
BDI,1950,595.0
BDI,2000,739.7609
BDI,2015,694.0
BEL,50,1001.1754503002002
BEL,100,1047.2728485657105
BEL,150,1093.3702468312208
BEL,200,1139.467645096731
BEL,250,1185.5650433622416
BEL,300,1231.6624416277518
BEL,350,1277.7598398932623
BEL,400,1323.8572381587726
BEL,450,1369.9546364242829
BEL,500,1416.0520346897933
BEL,550,1462.1494329553036
BEL,600,1508.2468312208139
BEL,650,1554.3442294863244
BEL,700,1600.4416277518346
BEL,750,1646.539026017345
BEL,800,1692.6364242828554
BEL,850,1738.7338225483657
BEL,900,1784.831220813876
BEL,950,1830.9286190793864
BEL,1000,1877.0260173448967
BEL,1050,1923.123415610407
BEL,1100,1969.2208138759174
BEL,1150,2015.3182121414277
BEL,1200,2061.415610406938
BEL,1250,2107.5130086724484
BEL,1300,2153.610406937959
BEL,1350,2199.707805203469
BEL,1400,2245.8052034689795
BEL,1450,2291.9026017344895
BEL,1500,2338.0
BEL,1550,2410.0
BEL,1600,2533.0
BEL,1650,2303.0
BEL,1700,2192.0
BEL,1750,2169.0
BEL,1800,2321.4193548387098
BEL,1850,2944.0
BEL,1900,5947.0
BEL,1950,8706.0
BEL,2000,33719.7698
BEL,2015,38569.0
BEN,1950,1627.0
BEN,2000,1908.9366
BEN,2015,2055.0
BFA,1950,756.0
BFA,2000,1275.4819
BFA,2015,1450.0
BGD,1950,861.0
BGD,2000,1485.3092
BGD,2015,3402.0
BGR,1900,1597.0
BGR,1950,2632.0
BGR,2000,8410.795
BGR,2015,16373.0
BHR,1950,3354.0
BHR,2000,17021.7224
BHR,2015,40483.0
BIH,2000,7082.0353
BIH,2015,9495.0
BLR,2000,9110.9795
BLR,2015,18136.0
BOL,1850,1200.090909090909
BOL,1900,1462.0
BOL,1950,3011.0
BOL,2000,4173.5495
BOL,2015,6200.0
BRA,1800,867.0
BRA,1850,867.0
BRA,1900,874.0
BRA,1950,2236.0
BRA,2000,9834.4244
BRA,2015,15826.0
BRB,1950,3390.0
BRB,2000,12600.0226
BRB,2015,11849.0
BWA,1950,489.0
BWA,2000,8044.142
BWA,2015,14805.0
CAF,1950,1307.0
CAF,2000,963.9462
CAF,2015,576.0
CAN,1850,2120.0
CAN,1900,4640.0
CAN,1950,11622.0
CAN,2000,36942.5623
CAN,2015,43619.0
CHE,50,995.4178804864865
CHE,100,1035.6402075135136
CHE,150,1075.8625345405405
CHE,200,1116.0848615675675
CHE,250,1156.3071885945947
CHE,300,1196.5295156216216
CHE,350,1236.7518426486486
CHE,400,1276.9741696756755
CHE,450,1317.1964967027027
CHE,500,1357.4188237297296
CHE,550,1397.6411507567568
CHE,600,1437.8634777837838
CHE,650,1478.0858048108107
CHE,700,1518.3081318378377
CHE,750,1558.5304588648648
CHE,800,1598.7527858918918
CHE,850,1638.975112918919
CHE,900,1679.197439945946
CHE,950,1719.4197669729729
CHE,1000,1759.6420939999998
CHE,1050,1799.8644210270268
CHE,1100,1840.086748054054
