year,name,wikidata,lon,lat,population,share
-2000,Indus Valley Civilization,Q42534,70.75266027316185,28.29885246978595,2075367.5930254012,0.028591851093163864
-2000,Sumerian City-States,Q2345840,45.972153576262535,31.819255407988905,305568.42951104045,0.004209744367558251
-2000,Elam,Q128904,47.54629513597492,32.50154521425286,280991.11381435394,0.003871148471086267
-2000,Middle Kingdom of Egypt,Q191324,31.368479879512662,29.202713721286617,1477363.094257839,0.020353283795849917
-2000,Stateless & unmapped,,200.0,0.0,68446691.9173471,0.9429739722723416
-1750,Middle Kingdom of Egypt,Q191324,31.261118220807894,27.07531242228126,1615997.4859906258,0.01969662380522258
-1750,Hyksos,Q192319,34.79342613351226,31.852543069097315,789985.9018306369,0.009628761959520655
-1750,Elam,Q128904,49.96950145098133,30.95699324413781,130987.52712929249,0.0015965445908230995
-1750,Assyria,Q41137,43.96894552888949,35.59117577950941,67597.57644104958,0.0008239146687087443
-1750,Indus Valley Civilization,Q42534,69.58656212220855,27.551589864310014,650117.95960664,0.007923978218036138
-1750,Babylonia,Q47690,45.08026987073051,33.265825827628134,783892.8447144032,0.009554496587895636
-1750,Stateless & unmapped,,200.0,0.0,78005810.74651085,0.9507756801697931
-1500,Elam,Q128904,49.96950145098133,30.95699324413781,138132.25779771805,0.0015095960004806689
-1500,Shang Dynasty,Q128938,115.1968794797443,36.387880498031876,1211048.615987122,0.013235099289834462
-1500,Hittites,Q5406,36.09165595062384,38.635064298404814,358384.9308204651,0.00391665543461531
-1500,First Sealand Dynasty,Q7440601,47.42752769685047,30.2944183907022,44929.05067873001,0.0004910128618134017
-1500,Mitanni,Q178665,39.63592923971124,36.12786224532686,874377.7839388847,0.009555749153657117
-1500,Mycenaean Greece,Q181264,22.619951974251116,38.15816708379249,366994.3877433762,0.0040107449828812175
-1500,Hyksos,Q192319,35.79512101674556,32.49874977764536,985225.4032571986,0.010767161501892076
-1500,Assyria,Q41137,44.57583231487758,35.27779757382845,157421.97104358673,0.001720406092421868
-1500,Minoan civilization,Q134178,24.84116552173992,35.23414060000868,33846.5222530365,0.0003698960361466556
-1500,New Kingdom of Egypt,Q180568,31.305371933533095,25.93792250338787,1744109.4499797188,0.019060722615173373
-1500,Babylonia,Q47690,46.15148740688758,32.134363548744524,615510.1688814461,0.006726681399498287
-1500,Stateless & unmapped,,200.0,0.0,84972817.39411,0.9286362746315855
-1250,Shang Dynasty,Q128938,115.1968794797443,36.387880498031876,1211048.615987122,0.011995187716133258
-1250,Mycenaean Greece,Q181264,23.21638446374822,37.81097891102008,527598.3904441409,0.005225753655602653
-1250,Mitanni,Q178665,38.70052691144372,36.40330302628296,208969.7650347948,0.0020698025871946323
-1250,Hittites,Q5406,34.40167364681072,38.12467816977533,1947599.440889731,0.019290572303132813
-1250,Assyria,Q41137,42.47750332235927,35.18062847883553,596344.9439563751,0.00590667414329447
-1250,Elam,Q128904,49.95609538701917,30.93364753595756,144782.91274392605,0.0014340450032522911
-1250,Babylonia,Q47690,46.37710023050372,31.9635212499971,703966.5170632005,0.006972643712707409
-1250,New Kingdom of Egypt,Q180568,31.743297512332813,26.572353277226597,2874387.67684012,0.02847021935988411
-1250,Stateless & unmapped,,200.0,0.0,92746507.56779961,0.9186351015187985
-1000,Zhou Dynasty,Q35216,115.86639501116063,35.341523020063555,4276677.814830691,0.03873114268884074
-1000,Babylonia,Q47690,44.72797586387046,32.155997117100995,333140.8782052994,0.003017044408748845
-1000,New Kingdom of Egypt,Q180568,30.811603494821913,27.31275037864611,1982665.0019663777,0.017955732093971298
-1000,Kingdom of Israel,Q3185305,35.70838330627715,32.162300002466246,254347.31243628263,0.0023034613494453326
-1000,Greek Dark Ages,Q210443,25.129744834942823,37.21139838377997,689786.7195621133,0.006246958273915532
-1000,Elam,Q128904,48.42060210740759,32.295294017276206,77211.334856987,0.0006992538033076537
-1000,Assyria,Q41137,44.068467955284696,35.55812104988791,151281.60703468323,0.001370061005750421
-1000,Neo-Hittite states,Q770281,37.20138158483353,36.906860454424205,335828.4246610403,0.0030413838024949016
-1000,Phoenicia,Q41642,35.942655068339015,34.4262053311906,630712.8566513062,0.00571196398333672
-1000,Kingdom of Kush,Q241790,32.81471561622682,19.39839642351557,164115.50779230148,0.0014862894576047985
-1000,Philistia,Q7185566,34.86571385597825,31.991821699164106,213288.72873306274,0.0019316199499140293
-1000,Stateless & unmapped,,200.0,0.0,101310557.53829667,0.9175050891826697
-950,Zhou Dynasty,Q35216,115.86639501116063,35.341523020063555,5016872.01143713,0.04306148762368742
-950,Babylonia,Q47690,44.72797586387046,32.155997117100995,329809.4694053173,0.0028308648003367467
-950,New Kingdom of Egypt,Q180568,30.811603494821913,27.31275037864611,2081798.2735484994,0.017868769700932194
-950,Kingdom of Israel,Q3185305,35.70838330627715,32.162300002466246,259424.31217121112,0.0022267254939685286
-950,Greek Dark Ages,Q210443,25.129744834942823,37.21139838377997,722548.2822090536,0.006201873167370054
-950,Elam,Q128904,48.42060210740759,32.295294017276206,80584.82447428703,0.0006916864559920257
-950,Assyria,Q41137,44.068467955284696,35.55812104988791,149768.79097261425,0.0012855155411936458
-950,Neo-Hittite states,Q770281,37.20138158483353,36.906860454424205,342326.4589904726,0.002938302301408772
-950,Phoenicia,Q41642,35.942655068339015,34.4262053311906,644381.941348648,0.005530945363775344
-950,Kingdom of Kush,Q241790,32.81471561622682,19.39839642351557,169915.8061337389,0.0014584440994740255
-950,Philistia,Q7185566,34.86571385597825,31.991821699164106,218320.28757266997,0.0018739159260746908
-950,Stateless & unmapped,,200.0,0.0,106489096.17591141,0.9140314695257865
-900,Zhou Dynasty,Q35216,115.86639501116063,35.341523020063555,5757066.2080435725,0.04696192570793646
-900,Kingdom of Kush,Q241790,32.81471561622682,19.39839642351557,175716.10447517634,0.0014333631655168168
-900,Greek Dark Ages,Q210443,25.129744834942823,37.21139838377997,755309.8448559942,0.006161264008227253
-900,New Kingdom of Egypt,Q180568,30.811603494821913,27.31275037864611,2180931.545130621,0.017790440737579256
-900,Kingdom of Judah,Q48685,35.23103208788218,31.63952159049939,46158.73998648525,0.00037652916254265697
-900,Phoenicia,Q41642,33.049112167048186,34.38233016622436,692627.9254567502,0.005649950860925703
-900,Tabal Kingdom,Q727710,36.301312019743726,37.65145274887508,291735.98183211684,0.0023797682725951517
-900,Elam,Q128904,49.21246656190491,31.647807731912945,126329.39715089799,0.0010305026118059835
-900,Kingdom of Israel,Q3185305,35.57170773836575,32.552942796890996,251872.8992202997,0.0020545944676647982
-900,Philistia,Q7185566,34.8195923145455,31.917996729327175,148299.35321884157,0.0012097174075691218
-900,Neo-Hittite states,Q770281,37.20138158483353,36.906860454424205,309971.28401738405,0.002528518499801121
-900,Neo-Assyrian Empire,Q10914393,42.210097522696444,35.281978752133256,983425.335439217,0.008022062952424094
-900,Phrygia,Q32579,32.42342243095278,39.537808573969514,154717.2471703589,0.0012620698815655944
-900,Babylonia,Q47690,46.52480347187681,31.49340227862755,642202.8267911017,0.0052386198718808
-900,Stateless & unmapped,,200.0,0.0,110073714.85053453,0.8979006723919651
-850,Zhou Dynasty,Q35216,115.86639501116063,35.341523020063555,6497260.404650013,0.05049344960440555
-850,Kingdom of Kush,Q241790,32.81471561622682,19.39839642351557,181516.40281661376,0.001410654455443113
-850,Greek Dark Ages,Q210443,25.129744834942823,37.21139838377997,788071.4075029341,0.0061244957753183735
-850,New Kingdom of Egypt,Q180568,30.811603494821913,27.31275037864611,2280064.8167127427,0.017719520343538492
-850,Kingdom of Judah,Q48685,35.23103208788218,31.63952159049939,47090.918354900175,0.00036596700219627596
-850,Phoenicia,Q41642,33.049112167048186,34.38233016622436,707197.4328241767,0.005495983800974969
-850,Tabal Kingdom,Q727710,36.301312019743726,37.65145274887508,296441.40086488426,0.002303793907431776
-850,Elam,Q128904,49.21246656190491,31.647807731912945,132071.64247593877,0.0010263945737432863
-850,Kingdom of Israel,Q3185305,35.57170773836575,32.552942796890996,256940.54054008724,0.0019968130299663545
-850,Philistia,Q7185566,34.8195923145455,31.917996729327175,151728.36891288756,0.0011791567941125535
-850,Neo-Hittite states,Q770281,37.20138158483353,36.906860454424205,315842.65367892385,0.002454570714919271
-850,Neo-Assyrian Empire,Q10914393,42.210097522696444,35.281978752133256,986954.9788883508,0.007670119155552073
-850,Phrygia,Q32579,32.42342243095278,39.537808573969514,157212.6838511154,0.0012217781395260615
-850,Babylonia,Q47690,46.52480347187681,31.49340227862755,637697.24595896,0.004955863201766106
-850,Stateless & unmapped,,200.0,0.0,115239221.55443908,0.8955814395011057
-800,Tabal Kingdom,Q727710,36.301312019743726,37.65145274887508,299214.3755189896,0.002220341085115603
-800,Philistia,Q7185566,34.8195923145455,31.917996729327175,147287.48103027345,0.0010929569974285757
-800,Phrygia,Q32579,32.42342243095278,39.537808573969514,159708.12053187194,0.0011851252167561885
-800,Zhou Dynasty,Q35216,115.86639501116063,35.341523020063555,7237454.601256455,0.05370603526303107
-800,Kingdom of Urartu,Q185068,43.986014815195766,39.33533785682404,194251.21823530793,0.0014414546758774924
-800,Kingdom of Judah,Q48685,35.156316959985595,31.612254326562457,57068.60946135224,0.00042348158586189206
-800,Sabaeans,Q940785,44.92554580986153,15.553547903462105,65369.36942138674,0.0004850779524969486
-800,Phoenicia,Q41642,22.615322724453133,35.31296315951799,919747.1905730725,0.006825047999805873
-800,Greek City-States,Q148837,24.82385248209597,37.290835089203775,796493.7739493133,0.00591043744897278
-800,Kingdom of Kush,Q241790,32.81360366431626,19.403061893290932,187332.0504248664,0.0013901105098838447
-800,Neo-Assyrian Empire,Q10914393,41.77462826949226,35.582077816209505,2418777.3183155567,0.017948705326362013
-800,Kingdom of Israel,Q3185305,35.56530459961673,32.53482465677378,239793.08706617352,0.0017794012811591599
-800,Elam,Q128904,48.999858779114454,31.576947942895682,183334.19682769777,0.0013604441591990749
-800,Twenty-third Dynasty of Egypt,Q748170,31.02629248817221,30.409720188795063,1714853.9054326746,0.01272519268032785
-800,Twenty-second Dynasty of Egypt,Q737629,30.483749314906724,25.869861884944548,551998.0690283799,0.0040961400649361735
-800,Stateless & unmapped,,200.0,0.0,119587861.99454652,0.8874100477527854
-750,Sabaeans,Q940785,44.92554580986153,15.553547903462105,68093.09314727783,0.0004834585316172747
-750,Kingdom of Kush,Q241790,32.81360366431626,19.403061893290932,193132.98831908777,0.001371237325607306
-750,Elam,Q128904,48.999858779114454,31.576947942895682,189944.84127044678,0.0013486015953228531
-750,Jin,Q6201794,113.79637643358674,36.964731905531586,1128955.5028415024,0.00801554378627628
-750,Chu,Q504759,113.5850061813111,32.1927025223937,2668472.8506525457,0.018946062021983755
-750,Tabal Kingdom,Q727710,36.301312019743726,37.65145274887508,284034.01590128243,0.002016631377869508
-750,Kingdom of Israel,Q3185305,35.56530459961673,32.53482465677378,244359.0479645133,0.0017349405212185105
-750,Qin,Q1471995,109.96103896439676,35.56223869083381,293352.8337641582,0.0020827946521776728
-750,Philistia,Q7185566,34.80574601035962,31.906082609415147,148468.2026309967,0.0010541189409708459
-750,Neo-Assyrian Empire,Q10914393,41.778973498984975,35.568774220371616,2379251.391518945,0.01689259998226547
-750,Twenty-second Dynasty of Egypt,Q737629,30.483749314906724,25.869861884944548,574997.9885712289,0.0040824652015186945
-750,Phrygia,Q32579,32.63206392993399,40.44360152320763,547831.0417020693,0.0038895808481308873
-750,Etruscans,Q17161,12.186400782325396,42.691502376476095,561048.4506896436,0.003983423980313128
-750,Twenty-third Dynasty of Egypt,Q748170,31.02629248817221,30.409720188795063,1786306.165091074,0.012682710032366038
-750,Roman Kingdom,Q201038,12.27888076812753,41.983644446009144,42203.83200073242,0.0002996457012690711
-750,Qi,Q1143524,118.53836812889048,37.10792274737679,1192214.3982898146,0.008464679686726916
-750,Song,Q7462,115.914086312944,34.79050698491748,308033.80619224906,0.0021870290325640518
-750,Teng,Q1356151,116.63261613596207,35.08464641684176,71871.834995538,0.0005102874639051544
-750,Chen,Q1069690,114.50373183991576,34.53906691201206,50863.70764923096,0.00036113050936783007
-750,Wey,Q1147897,114.97550290283799,36.07896623286081,99590.80941772461,0.0007070911932217579
-750,Cao,Q204077,114.74572950346723,35.370414232441135,50400.85039520264,0.0003578442393801098
-750,Lu,Q555994,118.13877778145553,35.69170395188036,669257.6890096664,0.004751705711214544
-750,Kingdom of Urartu,Q185068,41.95308731887871,39.543742545362996,719743.7832401264,0.005110155178783273
-750,Zheng,Q197598,113.931055615374,35.104348500892534,79399.80559143424,0.0005637357865195826
-750,Kingdom of Judah,Q48685,35.156316959985595,31.612254326562457,60270.10835131258,0.00042791561870918595
-750,Cai,Q1025803,113.48741426529928,34.62199811366845,64951.4348526001,0.00046115286982712807
-750,Zhu,Q227007,117.6027553010126,35.331423733969494,65396.192096710205,0.0004643106303902817
-750,Yan,Q1472004,118.03194136350324,39.68523173670739,526455.7719701529,0.003737817195756276
-750,Later Zhou,Q1154556,112.72781581149502,35.01474261580207,139283.79588359594,0.0009889099807864358
-750,Xu,Q2650109,117.32863786698668,34.754044013243025,77893.98130467534,0.0005530444878150945
-750,Wu,Q274488,119.28291442011248,31.81456757709074,2826254.8042546883,0.020066308262512284
-750,Phoenicia,Q41642,19.377350242679405,35.44613194617202,1033727.1400710642,0.0073394258085874705
-750,Greek City-States,Q148837,24.634551490161485,37.37718472495319,899650.0748419315,0.0063874834296588166
-750,Stateless & unmapped,,200.0,0.0,120800066.03629494,0.8576761584153665
-700,Jin,Q6201794,113.79637643358674,36.964731905531586,1233703.9513111233,0.008396484454874254
-700,Qin,Q1471995,109.96103896439676,35.56223869083381,320571.1348866671,0.002181779954499388
-700,Etruscans,Q17161,12.186400782325396,42.691502376476095,598316.5004276396,0.004072091355139478
-700,Qi,Q1143524,118.53836812889048,37.10792274737679,1302832.2291027606,0.008866965650344895
-700,Song,Q7462,115.914086312944,34.79050698491748,336614.2612727046,0.002290968111970058
-700,Teng,Q1356151,116.63261613596207,35.08464641684176,78540.35475293397,0.0005345389929751564
-700,Chen,Q1069690,114.50373183991576,34.53906691201206,55583.020742797846,0.0003782933248498281
-700,Wey,Q1147897,114.97550290283799,36.07896623286081,108831.19378662106,0.0007406958742927163
-700,Cao,Q204077,114.74572950346723,35.370414232441135,55077.21795349121,0.00037485087396594164
-700,Lu,Q555994,118.13877778145553,35.69170395188036,731353.7620235442,0.004977531673882
-700,Zheng,Q197598,113.931055615374,35.104348500892534,86766.79789112804,0.0005905274672402714
-700,Cai,Q1025803,113.48741426529928,34.62199811366845,70977.85664367673,0.00048306927226386974
-700,Zhu,Q227007,117.6027553010126,35.331423733969494,71463.88003082274,0.00048637710621425936
-700,Yan,Q1472004,118.03194136350324,39.68523173670739,575302.1836427212,0.003915457867082028
-700,Later Zhou,Q1154556,112.72781581149502,35.01474261580207,152207.03470351695,0.001035908168610778
-700,Xu,Q2650109,117.32863786698668,34.754044013243025,85121.25644651652,0.0005793280517363751
-700,Wu,Q274488,119.28291442011248,31.81456757709074,3088484.657659581,0.02101996462732938
-700,Phoenicia,Q41642,19.377350242679405,35.44613194617202,700023.961178553,0.004764303706597218
-700,Neo-Assyrian Empire,Q10914393,41.159819656096204,35.8919967943394,4950429.55867186,0.03369220370102864
-700,Kingdom of Kush,Q241790,31.899959546990583,22.630822752314206,2651189.0065571815,0.018043767515564236
-700,Elam,Q128904,49.216316983567495,31.635733126497737,147250.43726663588,0.0010021739868537917
-700,Chu,Q504759,113.5850061813111,32.1927025223937,2916063.112854445,0.01984647821747948
-700,Phoenician Colonies,Q1094394,1.6500555285049239,37.34704807793337,166908.3634279489,0.0011359641650023787
-700,Roman Kingdom,Q201038,12.27888076812753,41.983644446009144,45450.276715087886,0.0003093307284153528
-700,Phrygia,Q32579,31.176253307419753,39.53173950152561,1356347.5762013472,0.009231186563743887
-700,Hadhramaut,Q1517159,49.16483183729868,15.743015060284256,34806.889214444156,0.00023689273581479177
-700,Lydia,Q620765,27.991849579999297,38.33812836425609,226128.79284362792,0.001539013384769633
-700,Greek City-States,Q148837,23.591238476438775,38.292281825073474,1719217.1947161616,0.011700846410231175
-700,Sabaeans,Q940785,45.091146979834924,15.579345547038397,70677.84716625212,0.000481027433206101
-700,Stateless & unmapped,,200.0,0.0,122994770.86982462,0.8370919786240226
-650,Jin,Q6201794,113.79637643358674,36.964731905531586,1338452.3997807445,0.008747126213617453
-650,Qin,Q1471995,109.96103896439676,35.56223869083381,347789.4360091761,0.002272892254542215
-650,Qi,Q1143524,118.53836812889048,37.10792274737679,1413450.0599157063,0.00923725496159083
-650,Song,Q7462,115.914086312944,34.79050698491748,365194.71635316015,0.002386640180114438
-650,Teng,Q1356151,116.63261613596207,35.08464641684176,85208.87451032994,0.0005568616261469157
-650,Chen,Q1069690,114.50373183991576,34.53906691201206,60302.33383636474,0.00039409106003977687
-650,Wey,Q1147897,114.97550290283799,36.07896623286081,118071.57815551758,0.0007716277370315846
-650,Cao,Q204077,114.74572950346723,35.370414232441135,59753.58551177979,0.00039050485043273965
-650,Lu,Q555994,118.13877778145553,35.69170395188036,793449.8350374221,0.005185396098048169
-650,Zheng,Q197598,113.931055615374,35.104348500892534,94133.79019082189,0.000615188215808188
