country_iso,region
ZWE,Eastern Africa
ZMB,Eastern Africa
YEM,Western Asia
VNM,South-Eastern Asia
VEN,South America
VAT,Southern Europe
VUT,Melanesia
UZB,Central Asia
URY,South America
FSM,Micronesia
MHL,Micronesia
MNP,Micronesia
VIR,Caribbean
GUM,Micronesia
ASM,Polynesia
PRI,Caribbean
USA,Northern America
SGS,Seven seas (open ocean)
IOT,Seven seas (open ocean)
SHN,Western Africa
PCN,Polynesia
AIA,Caribbean
FLK,South America
CYM,Caribbean
BMU,Northern America
VGB,Caribbean
TCA,Caribbean
MSR,Caribbean
JEY,Northern Europe
GGY,Northern Europe
IMN,Northern Europe
GBR,Northern Europe
ARE,Western Asia
UKR,Eastern Europe
UGA,Eastern Africa
TKM,Central Asia
TUR,Western Asia
TUN,Northern Africa
TTO,Caribbean
TON,Polynesia
TGO,Western Africa
TLS,South-Eastern Asia
THA,South-Eastern Asia
TZA,Eastern Africa
TJK,Central Asia
TWN,Eastern Asia
SYR,Western Asia
CHE,Western Europe
SWE,Northern Europe
SWZ,Southern Africa
SUR,South America
SSD,Eastern Africa
SDN,Northern Africa
LKA,Southern Asia
ESP,Southern Europe
KOR,Eastern Asia
ZAF,Southern Africa
SOM,Eastern Africa
SLB,Melanesia
SVK,Eastern Europe
SVN,Southern Europe
SGP,South-Eastern Asia
SLE,Western Africa
SYC,Eastern Africa
SRB,Southern Europe
SEN,Western Africa
SAU,Western Asia
STP,Middle Africa
SMR,Southern Europe
WSM,Polynesia
VCT,Caribbean
LCA,Caribbean
KNA,Caribbean
RWA,Eastern Africa
RUS,Eastern Europe
ROU,Eastern Europe
QAT,Western Asia
PRT,Southern Europe
POL,Eastern Europe
PHL,South-Eastern Asia
PER,South America
PRY,South America
PNG,Melanesia
PAN,Central America
PLW,Micronesia
PAK,Southern Asia
OMN,Western Asia
NOR,Northern Europe
PRK,Eastern Asia
NGA,Western Africa
NER,Western Africa
NIC,Central America
NZL,Australia and New Zealand
NIU,Polynesia
COK,Polynesia
NLD,Western Europe
ABW,Caribbean
CUW,Caribbean
NPL,Southern Asia
NRU,Micronesia
NAM,Southern Africa
MOZ,Eastern Africa
MAR,Northern Africa
ESH,Northern Africa
MNE,Southern Europe
MNG,Eastern Asia
MDA,Eastern Europe
MCO,Western Europe
MEX,Central America
MUS,Eastern Africa
MRT,Western Africa
MLT,Southern Europe
MLI,Western Africa
MDV,Southern Asia
MYS,South-Eastern Asia
MWI,Eastern Africa
MDG,Eastern Africa
MKD,Southern Europe
LUX,Western Europe
LTU,Northern Europe
LIE,Western Europe
LBY,Northern Africa
LBR,Western Africa
LSO,Southern Africa
LBN,Western Asia
LVA,Northern Europe
LAO,South-Eastern Asia
KGZ,Central Asia
KWT,Western Asia
KIR,Micronesia
KEN,Eastern Africa
KAZ,Central Asia
JOR,Western Asia
JPN,Eastern Asia
JAM,Caribbean
ITA,Southern Europe
ISR,Western Asia
PSE,Western Asia
IRL,Northern Europe
IRQ,Western Asia
IRN,Southern Asia
IDN,South-Eastern Asia
IND,Southern Asia
ISL,Northern Europe
HUN,Eastern Europe
HND,Central America
HTI,Caribbean
GUY,South America
GNB,Western Africa
GIN,Western Africa
GTM,Central America
GRD,Caribbean
GRC,Southern Europe
GHA,Western Africa
DEU,Western Europe
GEO,Western Asia
GMB,Western Africa
GAB,Middle Africa
FRA,Western Europe
SPM,Northern America
WLF,Polynesia
MAF,Caribbean
BLM,Caribbean
PYF,Polynesia
NCL,Melanesia
ATF,Seven seas (open ocean)
ALA,Northern Europe
FIN,Northern Europe
FJI,Melanesia
ETH,Eastern Africa
EST,Northern Europe
ERI,Eastern Africa
GNQ,Middle Africa
SLV,Central America
EGY,Northern Africa
ECU,South America
DOM,Caribbean
DMA,Caribbean
DJI,Eastern Africa
GRL,Northern America
FRO,Northern Europe
DNK,Northern Europe
CZE,Eastern Europe
CYP,Western Asia
CUB,Caribbean
HRV,Southern Europe
CIV,Western Africa
CRI,Central America
COD,Middle Africa
COG,Middle Africa
COM,Eastern Africa
COL,South America
CHN,Eastern Asia
MAC,Eastern Asia
HKG,Eastern Asia
CHL,South America
TCD,Middle Africa
CAF,Middle Africa
CPV,Western Africa
CAN,Northern America
CMR,Middle Africa
KHM,South-Eastern Asia
MMR,South-Eastern Asia
BDI,Eastern Africa
BFA,Western Africa
BGR,Eastern Europe
BRN,South-Eastern Asia
BRA,South America
BWA,Southern Africa
BIH,Southern Europe
BOL,South America
BTN,Southern Asia
BEN,Western Africa
BLZ,Central America
BEL,Western Europe
BLR,Eastern Europe
BRB,Caribbean
BGD,Southern Asia
BHR,Western Asia
BHS,Caribbean
AZE,Western Asia
AUT,Western Europe
AUS,Australia and New Zealand
HMD,Seven seas (open ocean)
NFK,Australia and New Zealand
ARM,Western Asia
ARG,South America
ATG,Caribbean
AGO,Middle Africa
AND,Southern Europe
DZA,Northern Africa
ALB,Southern Europe
AFG,Southern Asia
-99,Southern Asia
ATA,Antarctica
SXM,Caribbean
TUV,Polynesia
