country,subregion,region
American Samoa,Polynesia,(unregioned)
Antarctica,Antarctica,(unregioned)
Ashmore and Cartier Islands,Australia and New Zealand,(unregioned)
Australia,Australia and New Zealand,(unregioned)
British Indian Ocean Territory,Seven seas (open ocean),(unregioned)
Cook Islands,Polynesia,(unregioned)
Federated States of Micronesia,Micronesia,(unregioned)
Fiji,Melanesia,(unregioned)
French Polynesia,Polynesia,(unregioned)
French Southern and Antarctic Lands,Seven seas (open ocean),(unregioned)
Guam,Micronesia,(unregioned)
Heard Island and McDonald Islands,Seven seas (open ocean),(unregioned)
Indian Ocean Territories,Seven seas (open ocean),(unregioned)
Kiribati,Micronesia,(unregioned)
Marshall Islands,Micronesia,(unregioned)
Nauru,Micronesia,(unregioned)
New Caledonia,Melanesia,(unregioned)
New Zealand,Australia and New Zealand,(unregioned)
Niue,Polynesia,(unregioned)
Norfolk Island,Australia and New Zealand,(unregioned)
Northern Mariana Islands,Micronesia,(unregioned)
Palau,Micronesia,(unregioned)
Papua New Guinea,Melanesia,(unregioned)
Pitcairn Islands,Polynesia,(unregioned)
Samoa,Polynesia,(unregioned)
Solomon Islands,Melanesia,(unregioned)
South Georgia and the Islands,Seven seas (open ocean),(unregioned)
Tonga,Polynesia,(unregioned)
Tuvalu,Polynesia,(unregioned)
Vanuatu,Melanesia,(unregioned)
Wallis and Futuna,Polynesia,(unregioned)
Anguilla,Caribbean,americas
Antigua and Barbuda,Caribbean,americas
Argentina,South America,americas
Aruba,Caribbean,americas
Barbados,Caribbean,americas
Belize,Central America,americas
Bermuda,Northern America,americas
Bolivia,South America,americas
Brazil,South America,americas
British Virgin Islands,Caribbean,americas
Canada,Northern America,americas
Cayman Islands,Caribbean,americas
Chile,South America,americas
Colombia,South America,americas
Costa Rica,Central America,americas
Cuba,Caribbean,americas
Curaçao,Caribbean,americas
Dominica,Caribbean,americas
Dominican Republic,Caribbean,americas
Ecuador,South America,americas
El Salvador,Central America,americas
Falkland Islands,South America,americas
Greenland,Northern America,americas
Grenada,Caribbean,americas
Guatemala,Central America,americas
Guyana,South America,americas
Haiti,Caribbean,americas
Honduras,Central America,americas
Jamaica,Caribbean,americas
Mexico,Central America,americas
Montserrat,Caribbean,americas
Nicaragua,Central America,americas
Panama,Central America,americas
Paraguay,South America,americas
Peru,South America,americas
Puerto Rico,Caribbean,americas
Saint Barthelemy,Caribbean,americas
Saint Kitts and Nevis,Caribbean,americas
Saint Lucia,Caribbean,americas
Saint Martin,Caribbean,americas
Saint Pierre and Miquelon,Northern America,americas
Saint Vincent and the Grenadines,Caribbean,americas
Sint Maarten,Caribbean,americas
Suriname,South America,americas
The Bahamas,Caribbean,americas
Trinidad and Tobago,Caribbean,americas
Turks and Caicos Islands,Caribbean,americas
United States Virgin Islands,Caribbean,americas
United States of America,Northern America,americas
Uruguay,South America,americas
Venezuela,South America,americas
China,Eastern Asia,eastasia
Hong Kong S.A.R.,Eastern Asia,eastasia
Japan,Eastern Asia,eastasia
Macao S.A.R,Eastern Asia,eastasia
North Korea,Eastern Asia,eastasia
South Korea,Eastern Asia,eastasia
Taiwan,Eastern Asia,eastasia
Aland,Northern Europe,europe
Albania,Southern Europe,europe
Andorra,Southern Europe,europe
Austria,Western Europe,europe
Belarus,Eastern Europe,europe
Belgium,Western Europe,europe
Bosnia and Herzegovina,Southern Europe,europe
Bulgaria,Eastern Europe,europe
Croatia,Southern Europe,europe
Cyprus,Western Asia,europe
Czechia,Eastern Europe,europe
Denmark,Northern Europe,europe
Estonia,Northern Europe,europe
Faroe Islands,Northern Europe,europe
Finland,Northern Europe,europe
France,Western Europe,europe
Germany,Western Europe,europe
Greece,Southern Europe,europe
Guernsey,Northern Europe,europe
Hungary,Eastern Europe,europe
Iceland,Northern Europe,europe
Ireland,Northern Europe,europe
Isle of Man,Northern Europe,europe
Italy,Southern Europe,europe
Jersey,Northern Europe,europe
Kosovo,Southern Europe,europe
Latvia,Northern Europe,europe
Liechtenstein,Western Europe,europe
Lithuania,Northern Europe,europe
Luxembourg,Western Europe,europe
Malta,Southern Europe,europe
Moldova,Eastern Europe,europe
Monaco,Western Europe,europe
Montenegro,Southern Europe,europe
Netherlands,Western Europe,europe
North Macedonia,Southern Europe,europe
Norway,Northern Europe,europe
Poland,Eastern Europe,europe
Portugal,Southern Europe,europe
Republic of Serbia,Southern Europe,europe
Romania,Eastern Europe,europe
Russia,Eastern Europe,europe
San Marino,Southern Europe,europe
Slovakia,Eastern Europe,europe
Slovenia,Southern Europe,europe
Spain,Southern Europe,europe
Sweden,Northern Europe,europe
Switzerland,Western Europe,europe
Ukraine,Eastern Europe,europe
United Kingdom,Northern Europe,europe
Vatican,Southern Europe,europe
Bangladesh,Southern Asia,indiansub
Bhutan,Southern Asia,indiansub
