from,to,population
Qing Dynasty,People's Republic of China,481995402.21829146
British Raj,Republic of India,364603573.1501625
British Empire,British Raj,322867605.3993908
Russian Empire,Union of Soviet Socialist Republics,172574315.99227348
Brazilian Republic,Republic of Brazil,168344148.45233798
Union of Soviet Socialist Republics,Russian Federation,142593955.03324503
Islamic Republic of Pakistan,People's Republic of Bangladesh,129197448.20111275
United States of America,Japan,123849112.010028
British Africa,Federal Republic of Nigeria,123558015.2772429
British Raj,Islamic Republic of Pakistan,82650288.69190085
Empire of Japan,United States of America,81255482.63712263
French Indochina,Socialist Republic of Vietnam,78354624.62640715
Sur Empire,Mughal Empire,77876485.69975519
Dutch East Indies,Republic of Indonesia,67319006.28968596
Yuan Dynasty,Ming Dynasty,67214730.91178535
Maratha Empire,British Empire,66738537.0794096
Pahlavi Dynasty,Islamic Republic of Iran,64166122.82969087
Kingdom of Egypt,Arab Republic of Egypt,63550904.78005436
Federal Republic of Germany,Federated Republic of Germany,63529414.00930214
French Fourth Republic,French Fifth Republic,57630032.347676694
Kingdom of Great Britain,(Commonwealth of Nations),57180790.16502726
Nawabs of Bengal,British Empire,56541170.83082056
Mughal Empire,Stateless & unmapped,53953992.51724255
Mughal Empire,Nawabs of Bengal,50967473.4078846
Belgian Congo,Democratic Republic of the Congo,48625023.728831515
Northern Song,Southern Song,48555744.989034414
Union of Soviet Socialist Republics,Ukraine,46395169.18905902
German Empire,Federal Republic of Germany,45818256.881056786
Stateless & unmapped,Gupta Empire,45746590.587907135
Southern Ming,Qing Dynasty,45381701.10568474
Ming Dynasty,Southern Ming,45320222.04714834
Burma,Union of Myanmar,44400751.514692664
Tokugawa Shogunate,Empire of Japan,42431978.585650444
Ming Dynasty,Qing Dynasty,41775794.56318497
Russian Empire,People's Republic of China,41395927.97353327
Southern Song,Yuan Dynasty,41050447.71819702
Kingdom of Italy,Republic of Italy,40122979.139372945
Stateless & unmapped,Mughal Empire,39409756.875994936
French Third Republic,French Fourth Republic,39280721.778532535
Tughlaq Dynasty,Stateless & unmapped,38413672.59889561
Union of Soviet Socialist Republics,Republic of Poland,38163026.285577536
Sui Dynasty,Tang Dynasty,37789730.117744155
French Second Republic,French Third Republic,37474666.06120825
Iraqi Republic,Republic of Iraq,36648044.64287764
Mongol Empire,Yuan Dynasty,36121585.8745068
Shunga Empire,Kanva Dynasty,35431915.348547034
Nanda Empire,Maurya Empire,35375401.73314044
Pala Empire,Stateless & unmapped,35354734.959744215
Kanva Dynasty,Stateless & unmapped,34795870.95274288
French Consulate,French Second Republic,34717412.80159187
(Delhi Sultanate),Tughlaq Dynasty,34513236.18317966
Gupta Empire,Maukhari Dynasty,34468315.59950936
Great Jin,Mongol Empire,34446257.533477515
Maurya Empire,Shunga Empire,34270209.98282221
British Africa,Republic of Sudan,34027896.842191756
Stateless & unmapped,Maratha Empire,33663603.976839066
Qing Dynasty,Russian Empire,32355077.92508699
Stateless & unmapped,Kannauj-Varman Dynasty,31482846.318325557
British Africa,Republic of Kenya,31284512.08073932
Lodi Dynasty,Sur Empire,31239130.110745043
Taliban,Afghanistan,31082496.760239363
German Confederation,German Empire,30886798.90815568
Maukhari Dynasty,Stateless & unmapped,30671718.224173546
French Africa,People's Democratic Republic of Algeria,29587826.26602514
British Africa,Tanzania,29091736.646438137
Stateless & unmapped,British Africa,27652173.990810025
