year,family,population,share
-1750,ancientne,3523.957287311554,4.295183723711002e-05
-1750,dharmic,1859763.688582465,0.022667773965110258
-1500,ancientne,118483.99016141891,0.0012948674011438895
-1500,dharmic,2944044.0672077835,0.032174361151788344
-1250,ancientne,28223.093774557114,0.0002795439450462528
-1250,classical,159.86563301086426,1.5834362485611211e-06
-1250,dharmic,851372.3495575562,0.008432668197175747
-1000,ancientne,2825507.5811753124,0.02558881964767194
-1000,classical,246345.3526467085,0.0022309927044317657
-950,ancientne,2861705.4718229463,0.024562973597216042
-950,classical,253225.52291173345,0.0021735192159589804
-900,ancientne,1624337.337802342,0.013250153224905126
-900,classical,129691.84142074587,0.0010579309672028784
-850,ancientne,1654353.4526450816,0.01285680540512497
-850,classical,133908.57855644228,0.0010406703197701865
-800,ancientne,1743115.540752318,0.012934910110928961
-800,classical,65051.32001647949,0.0004827178447662045
-750,ancientne,1630909.8430667631,0.011579401690914936
-750,classical,33304.90862369537,0.00023646366282749733
-750,sinic,118873.30875205994,0.0008439962504487186
-700,ancientne,134505.55871067874,0.0009154334243706881
-700,classical,2613.987438392639,1.7790576797922e-05
-700,sinic,129902.77414169321,0.0008841072629836312
-650,ancientne,14183.054157437391,9.268985944513184e-05
-650,classical,701682.3491896,0.004585672281834199
-650,sinic,140932.2395313264,0.0009210279625560233
-600,ancientne,315499.1637091639,0.001983005875631862
-600,classical,19674.00430164337,0.0001236569557544984
-600,sinic,151961.7049209593,0.0009551244136009254
-550,ancientne,362004.21319336025,0.0021914850982647257
-550,classical,453025.8612779617,0.0027425079265276505
-550,dharmic,7464.76833190918,4.5189884441039575e-05
-550,orthodox,540716.786811312,0.00327336737389196
-550,sinic,162991.17031059263,0.00098670873947426
-500,ancientne,22582.172563375905,0.00013184980675771916
-500,classical,387216.93524456024,0.0022608311021461423
-500,dharmic,186142.24179077148,0.0010868227377451606
-500,orthodox,549181.2861110419,0.003206487163512834
-500,sinic,174020.63570022583,0.001016048704992277
-450,ancientne,133114.34090864673,0.0007505438692514624
-450,classical,996324.5149965949,0.005617616039047352
-450,dharmic,181611.31856842033,0.0010239863023605146
-450,orthodox,478029.4497192383,0.0026952924107151483
-450,sinic,236202.6299942017,0.0013317906593165879
-400,ancientne,730472.2240140438,0.003982024818853394
-400,classical,753391.610035515,0.004106965317574705
-400,dharmic,1995606.9897369382,0.010878656710781408
-400,orthodox,485735.02812483016,0.0026478884121709447
-400,sinic,254405.53293762234,0.0013868414334009779
-350,americas,144035.4654321745,0.0007599707581375169
-350,ancientne,741922.6270012904,0.003914587977549583
-350,classical,1689475.2108851073,0.008914136202625053
-350,dharmic,2257994.990277397,0.01191380303096176
-350,orthodox,651403.4764971414,0.003436984026132521
-350,sinic,271905.4531902311,0.0014346480068827964
-325,americas,144809.84963698313,0.0007519845023943923
-325,ancientne,517502.6857212657,0.002687344822091999
-325,classical,2106791.694034134,0.010940379453873057
-325,dharmic,267135.0929708393,0.0013872084700269794
-325,orthodox,655756.8330947327,0.0034052861532736997
-325,sinic,182759.4687446044,0.0009490534553160386
-320,americas,144964.72647794493,0.0007504174397950139
-320,ancientne,492299.7239080235,0.0025484151034704063
-320,classical,1224152.6388234934,0.006336889748721022
-320,dharmic,270674.0473082256,0.0014011582716357952
-320,orthodox,642087.0812535989,0.0033237971425627137
-320,sinic,183707.49962726602,0.000950971418294713
-300,americas,145584.23384179175,0.0007442466874883278
-300,ancientne,659741.532617411,0.0033726897294563372
-300,classical,1084823.910577992,0.005545769487877314
-300,dharmic,250860.58421630852,0.0012824339140134222
-300,orthodox,643191.437219323,0.0032880833586110695
-300,sinic,17228.80619166494,8.807603405365569e-05
-300,westeurope,1151.3783803939818,5.886005119105902e-06
-250,americas,147133.002251409,0.0007294714074195914
-250,ancientne,714597.302712257,0.0035429053453081565
-250,classical,1493673.0624784585,0.007405488737659862
-250,dharmic,997.7782719135284,4.9468896112223476e-06
-250,orthodox,651603.6212162599,0.00323058867402249
-250,sinic,17573.508641824126,8.712778157239726e-05
-250,westeurope,1159.9707570075989,5.751024499819849e-06
-200,americas,148681.7706610263,0.0007155615578555215
-200,ancientne,624809.9343982948,0.003007026133963341
-200,classical,663698.093937239,0.003194183388669854
-200,dharmic,23534590.156602617,0.1132650487082486
-200,orthodox,989006.302477914,0.004759795954700264
-200,sinic,7204.891255187988,3.467501892007905e-05
-200,westeurope,26.997868728637698,1.299327881310121e-07
-150,americas,150230.5390706435,0.0007024432661446673
-150,ancientne,397002.17803994427,0.0018562903943105087
-150,classical,578659.5418456186,0.0027056782267730166
-150,dharmic,16376606.868866313,0.07657322731115439
-150,orthodox,1000019.9749994092,0.004675862190164771
-150,sinic,7376.055752944946,3.448873129535537e-05
-100,americas,151779.3074802607,0.0006900508346664669
-100,ancientne,83812.74052403118,0.0003810470117068714
-100,classical,524381.4310110258,0.002384052544183694
-100,dharmic,16871741.086774684,0.07670583831540748
-100,orthodox,1011033.6475209012,0.0045965726417510075
-100,sinic,8763.48880491257,3.984240582469793e-05
-100,steppe,4311049.84624476,0.01959979653403562
-100,westeurope,964.2579832077025,4.383911332793599e-06
-50,americas,153328.07588987795,0.000678325640424715
-50,ancientne,85935.44711592897,0.00038017966939050946
-50,classical,120887.30205338314,0.0005348071845854973
-50,dharmic,13165406.0181724,0.05824394793255042
-50,orthodox,554270.9211450142,0.0024521026261656023
