polity_id,year,cultural_figures
(Anglo-Saxon England),650,1
(Anglo-Saxon England),700,2
(Anglo-Saxon England),750,3
(Anglo-Saxon England),800,6
(Anglo-Saxon England),850,8
(Anglo-Saxon England),900,11
(British Empire),1750,108
(British Empire),1800,198
(British Empire),1850,363
(British Empire),1900,828
(British Empire),1950,1234
(Brythonic Kingdoms),650,1
(Brythonic Kingdoms),700,1
(Brythonic Kingdoms),750,1
(Brythonic Kingdoms),800,1
(Brythonic Kingdoms),850,1
(Brythonic Kingdoms),900,1
(Brythonic Kingdoms),950,1
(Brythonic Kingdoms),1000,1
(Brythonic Kingdoms),1050,1
(Brythonic Kingdoms),1100,1
(Brythonic Kingdoms),1150,1
(Brythonic Kingdoms),1200,1
(Brythonic Kingdoms),1250,2
(Carolingian Empire),750,4
(Carolingian Empire),800,7
(Carolingian Empire),850,10
(Carolingian Empire),900,13
(Carolingian Empire),950,14
(Delhi Sultanate),1250,1
(Delhi Sultanate),1300,1
(Delhi Sultanate),1350,1
(Delhi Sultanate),1400,1
(Delhi Sultanate),1450,2
(Delhi Sultanate),1500,2
(Dutch Republic),1600,13
(Dutch Republic),1650,15
(Dutch Republic),1700,16
(Dutch Republic),1750,19
(French Consulate),1800,10
(French Fourth Republic),1950,57
(French Second Republic),1850,14
(French Third Republic),1900,224
(Habsburg Monarchy),1500,10
(Habsburg Monarchy),1550,16
(Habsburg Monarchy),1600,21
(Habsburg Monarchy),1650,24
(Habsburg Monarchy),1700,36
(Habsburg Monarchy),1750,52
(Habsburg Monarchy),1800,57
(Holy Roman Empire),950,3
(Holy Roman Empire),1000,10
(Holy Roman Empire),1050,17
(Holy Roman Empire),1100,22
(Holy Roman Empire),1150,33
(Holy Roman Empire),1200,39
(Holy Roman Empire),1250,50
(Holy Roman Empire),1300,55
(Holy Roman Empire),1350,74
(Holy Roman Empire),1400,95
(Holy Roman Empire),1450,114
(Holy Roman Empire),1500,121
(Holy Roman Empire),1550,129
(Holy Roman Empire),1600,133
(Holy Roman Empire),1650,141
(Holy Roman Empire),1700,155
(Holy Roman Empire),1750,177
(Holy Roman Empire),1800,181
(Kalmar Union),1450,5
(Kalmar Union),1500,6
(Kingdom of Bohemia),1250,3
(Kingdom of Bohemia),1300,5
(Kingdom of Bohemia),1350,7
(Kingdom of Bohemia),1400,7
(Kingdom of Bohemia),1450,7
(Kingdom of Bohemia),1500,7
(Kingdom of Denmark),1350,1
(Kingdom of Denmark),1400,1
(Kingdom of England),950,6
(Kingdom of England),1000,8
(Kingdom of England),1050,9
(Kingdom of England),1100,16
(Kingdom of England),1150,20
(Kingdom of England),1200,23
(Kingdom of England),1250,25
(Kingdom of England),1300,30
(Kingdom of England),1350,34
(Kingdom of England),1400,38
(Kingdom of England),1450,51
(Kingdom of England),1500,66
(Kingdom of England),1550,80
(Kingdom of England),1600,97
(Kingdom of England),1650,114
(Kingdom of England),1700,119
(Kingdom of France),1000,6
(Kingdom of France),1050,19
