polity_id,year,urban_pop
(Anglo-Saxon England),550,35003.84911470362
(Anglo-Saxon England),600,35388.760585065436
(Anglo-Saxon England),650,35773.672055427254
(Anglo-Saxon England),750,36543.49499615088
(Anglo-Saxon England),800,36928.4064665127
(Anglo-Saxon England),850,37313.31793687452
(Anglo-Saxon England),900,37698.22940723634
(Batavian Republic),1800,509078.89077212807
(British Empire),1750,1241815.4205311532
(British Empire),1800,3194363.9378938028
(British Empire),1850,9692631.929975478
(British Empire),1900,35717627.485799514
(British Empire),1950,28461916.723958332
(Carolingian Empire),750,24111.11111111111
(Carolingian Empire),800,6000.0
(Carolingian Empire),850,182109.0413757875
(Carolingian Empire),900,220285.7142857143
(Carolingian Empire),950,39250.0
(Commonwealth of Nations),2000,8094000.0
(Commonwealth of Nations),2015,8094000.0
(Delhi Sultanate),1250,509793.69121019146
(Delhi Sultanate),1300,418686.4887420785
(Delhi Sultanate),1350,706986.7961975924
(Delhi Sultanate),1400,36919.08045977012
(Delhi Sultanate),1500,515295.65432743495
(Duchies of Poland),1250,12275.862068965518
(Duchies of Poland),1300,14000.0
(Dutch Republic),1600,120349.33977455716
(Dutch Republic),1650,408255.9789889463
(Dutch Republic),1700,171604.06666666665
(Dutch Republic),1750,272785.60925524693
(Five Dynasties and Ten Kingdoms),950,408250.0
(French Consulate),1800,925517.2809733587
(French Fourth Republic),1950,14480000.0
(French Second Republic),1850,2732882.2640545177
(French Third Republic),1900,7878000.0
(Habsburg Monarchy),1500,425848.9678958875
(Habsburg Monarchy),1550,312444.6266461561
(Habsburg Monarchy),1600,77822.07677609866
(Habsburg Monarchy),1650,112432.38184408328
(Habsburg Monarchy),1700,200203.4082934609
(Habsburg Monarchy),1750,313421.8999815313
(Habsburg Monarchy),1800,305269.0576711424
(Holy Roman Empire),950,36750.0
(Holy Roman Empire),1000,143500.0
(Holy Roman Empire),1050,172881.4497860559
(Holy Roman Empire),1100,154770.60972824847
(Holy Roman Empire),1150,215936.29794957855
(Holy Roman Empire),1200,356013.42281879194
(Holy Roman Empire),1250,350310.94109082397
(Holy Roman Empire),1300,281480.4230856679
(Holy Roman Empire),1350,529927.3941400251
(Holy Roman Empire),1400,681628.7402755631
(Holy Roman Empire),1450,486013.56305363134
(Holy Roman Empire),1500,236633.53198519693
(Holy Roman Empire),1550,193115.81446086382
(Holy Roman Empire),1600,176668.85407423828
(Holy Roman Empire),1650,210049.36025281617
(Holy Roman Empire),1700,243344.4964054637
(Holy Roman Empire),1750,230896.79523809522
(Holy Roman Empire),1800,82535.7441860465
(Kalmar Union),1450,28905.142429732237
(Kalmar Union),1500,12798.337129840547
(Kingdom of Bohemia),1250,31000.0
(Kingdom of Bohemia),1300,14000.0
(Kingdom of Bohemia),1350,21832.69230769231
(Kingdom of Bohemia),1450,21000.0
(Kingdom of Bohemia),1500,13980.0
(Kingdom of Denmark),1200,6750.0
(Kingdom of Denmark),1400,31000.0
(Kingdom of England),950,38083.140877598154
(Kingdom of England),1000,38468.052347959965
(Kingdom of England),1050,38852.96381832179
(Kingdom of England),1100,46242.990654205605
(Kingdom of England),1150,42491.07487093353
(Kingdom of England),1200,155775.19379844962
(Kingdom of England),1250,70103.11328671328
(Kingdom of England),1350,108329.15360501567
(Kingdom of England),1400,102366.66666666666
(Kingdom of England),1450,116791.32653061225
(Kingdom of England),1500,63190.17622377622
(Kingdom of England),1550,78750.0
(Kingdom of England),1600,50506.608396866286
(Kingdom of England),1650,3453.0612244897957
(Kingdom of England),1700,949283.9733711387
(Kingdom of France),1000,116214.28571428571
(Kingdom of France),1050,141703.2788407951
(Kingdom of France),1100,172328.6356036681
(Kingdom of France),1150,220230.9499051266
(Kingdom of France),1200,197611.65016171517
(Kingdom of France),1250,338044.91035571514
(Kingdom of France),1300,729851.8137165462
(Kingdom of France),1350,437316.68455987406
(Kingdom of France),1400,645738.7826614021
(Kingdom of France),1450,651604.9459742284
(Kingdom of France),1500,265454.4630598235
(Kingdom of France),1550,509857.14567259204
(Kingdom of France),1600,614084.6093281638
(Kingdom of France),1650,508739.6886962474
(Kingdom of France),1700,1167074.3571941066
(Kingdom of France),1750,1773177.0653087108
(Kingdom of Poland),1400,18000.0
